date,text,mood
2025-08-12 01:10:16.527112,"The world looks dull, even on sunny days.",sadness
2025-08-12 01:59:02.285816,Smiles don’t come easily anymore.,joy
2025-08-12 01:59:43.412524,"No matter how crowded the room, I still feel alone.",sadness
2025-08-12 02:00:55.269754,"No matter how crowded the room, I still feel alone.",sadness
2025-08-12 02:05:07.598446,"No matter how crowded the room, I still feel alone.",sadness
2025-08-12 02:08:05.953010,"No matter how crowded the room, I still feel alone.",sadness
2025-08-12 02:09:33.627797,"No matter how crowded the room, I still feel alone.

",sadness
2025-08-12 02:12:18.664466,I miss the version of me who used to be happy.,joy
2025-08-12 02:17:29.956891,"I miss the version of me who used to be happy.
",joy
2025-08-12 02:18:44.999060,His hands trembled slightly while dialing the number.,fear
2025-08-12 02:20:14.605507,Public outrage spread quickly after the news broke.,anger
2025-08-12 02:20:58.591807,The children clapped in delight when the magician appeared.,joy
2025-08-12 02:28:10.267224,The children clapped in delight when the magician appeared.,joy
2025-08-12 02:28:44.064400,He felt the thrill of victory as the final whistle blew,joy
2025-08-12 02:29:39.029675,"He walked into the room with a calm expression, taking in the surroundings.",joy
2025-08-12 02:30:03.762894,"She simply stated, “It’s 3 p.m.,” without expression.",anger
2025-08-12 02:30:30.743483,"She listened without reacting, her face unreadable.",fear
2025-08-15 20:45:04.494000,i am feeling depressive ,sadness
2025-08-16 00:35:11.535142,i am feeling depressed ,sadness
2025-08-16 00:40:31.629426,i am feeling happy,joy
2025-08-16 01:25:28.941581,i am feeling aggressive,anger
2025-08-17 21:08:02.798151,i am feeling very sad ,sadness
2025-08-17T21:28:08.555799,i ma feeling sad,calm
2025-08-17T21:29:11.722225,i ma feeling suicidal,calm
2025-08-17T21:29:28.938490,i am feeling happy,calm
2025-08-17T21:33:19.996512,I am feeling suicidal,sadness
2025-08-17T21:34:04.728972,I am feeling happy,joy
2025-08-17T21:34:34.148863,I am feeling depressed and stressful,sadness
2025-08-17T21:35:21.832105,I am feeling very great,joy
2025-08-17T21:41:54.289914,I am feeling very proud,joy
2025-08-17T21:53:05.579351,I am feeling good,joy
2025-08-17T21:53:21.217540,I am feeling motivated,joy
2025-08-17T21:53:30.198937,I am feeling motivated,joy
2025-08-17T22:05:21.437563,I am feeling suicidal and depressive,sadness
2025-08-17T22:38:41.880679,I am feeling happy,joy
2025-08-17T22:39:27.206606,I am feeling suicidal and depressed,sadness
2025-08-17T22:40:55.381587,I am feeling angry,anger
2025-08-17T23:23:51.153853,I am feeling like fomo,joy
2025-08-17T23:24:17.625699,I am feeling like fear,fear
2025-08-17T23:25:06.013368,When your friends plan a sudden trip/outing and you actually join instead of saying no → later you feel “thank God I didn’t miss this.”,sadness
2025-08-17T23:25:39.149002,Concerts or music fests with your favorite artist → sab reels banate hain aur jo nahi gaya usko FOMO jalata hai.,joy
2025-08-17T23:26:22.472785,I am feeling the fear of missing out,sadness
2025-08-17T23:29:29.228746,"I’m super excited for the hackathon this weekend, can’t wait to code all night. 🚀",joy
2025-08-19T13:48:55.031862,"I'm super excited for the hackathon this weekend, can't wait to code all night.🚀",joy
2025-08-19T13:55:56.412314,I am feeling as fear of moving out,fear
2025-08-24T20:04:54.053518,I am feeling very disheartened,sadness
2025-08-29T22:47:09.604876,I am feeling very nice and excited about the tomorrow,joy
2025-08-29T22:49:28.230456,I am feeling fearful and haunted from someone,fear
2025-10-11T23:45:08.639709,i am feeling very suicidal,sadness
2025-10-14T20:03:15.142354,hello i am feeling horror today,fear
2025-10-27T17:17:54.633457,I am feeling very nice and playful,joy
2025-10-27T17:25:10.590167,i am feeling very anaxious,anger
